"pages","writes"
50,7243
100,5589
150,4282
200,3583
250,3166
300,2729
350,2426
400,2261
450,2114
500,2003
550,1894
600,1781
650,1668
700,1573
750,1501
800,1421
850,1370
900,1316
950,1265
1000,1209
1050,1162
1100,1122
1150,1077
1200,1040
1250,995
1300,956
1350,930
1400,888
1450,858
1500,828
1550,800
1600,772
1650,763
1700,746
1750,739
1800,721
1850,706
1900,694
1950,679
2000,666
2050,654
2100,625
2150,593
2200,577
2250,557
2300,531
2350,505
2400,478
2450,448
2500,393
2550,327
2600,263
2650,199
2700,130
2750,70
2800,33
2850,1
2900,0
