"pages","writes"
50,22240
100,9382
150,5910
200,4792
250,4334
300,3793
350,3339
400,2839
450,2498
500,2235
550,2040
600,1877
650,1727
700,1575
750,1464
800,1359
850,1265
900,1170
950,1074
1000,992
1050,932
1100,870
1150,828
1200,798
1250,777
1300,734
1350,702
1400,664
1450,639
1500,612
1550,591
1600,581
1650,554
1700,542
1750,532
1800,518
1850,506
1900,488
1950,471
2000,455
2050,427
2100,408
2150,399
2200,390
2250,375
2300,365
2350,341
2400,321
2450,306
2500,298
2550,274
2600,230
2650,179
2700,128
2750,78
2800,27
2850,0
