"pages","writes"
50,13704
100,9765
150,7944
200,6769
250,5860
300,5148
350,4617
400,4145
450,3817
500,3466
550,3176
600,2929
650,2722
700,2539
750,2405
800,2258
850,2123
900,1956
950,1847
1000,1810
1050,1659
1100,1598
1150,1532
1200,1425
1250,1355
1300,1282
1350,1203
1400,1149
1450,1097
1500,1018
1550,957
1600,940
1650,875
1700,826
1750,783
1800,732
1850,699
1900,646
1950,602
2000,531
2050,479
2100,455
2150,420
2200,373
2250,325
2300,285
2350,307
2400,262
2450,234
2500,197
2550,163
2600,142
2650,106
2700,72
2750,47
2800,20
2850,2
2900,0
