"pages","writes"
50,10113
100,6663
150,5158
200,4609
250,4180
300,3872
350,3543
400,3333
450,3168
500,3021
550,2880
600,2795
650,2720
700,2610
750,2548
800,2497
850,2433
900,2379
950,2316
1000,2255
1050,2205
1100,2167
1150,2131
1200,2095
1250,2064
1300,2023
1350,1995
1400,1965
1450,1944
1500,1937
1550,1899
1600,1867
1650,1840
1700,1816
1750,1786
1800,1745
1850,1674
1900,1630
1950,1575
2000,1523
2050,1466
2100,1421
2150,1386
2200,1359
2250,1310
2300,1261
2350,1211
2400,1166
2450,1118
2500,1067
2550,1018
2600,973
2650,936
2700,890
2750,857
2800,841
2850,803
2900,770
2950,766
3000,744
3050,716
3100,692
3150,648
3200,612
3250,589
3300,561
3350,528
3400,471
3450,414
3500,358
3550,301
3600,243
3650,188
3700,135
3750,79
3800,50
3850,23
3900,0
