"pages","writes"
50,28883
100,9839
150,6059
200,4755
250,4135
300,3589
350,3134
400,2824
450,2632
500,2489
550,2365
600,2289
650,2223
700,2174
750,2117
800,2056
850,1997
900,1940
950,1892
1000,1868
1050,1834
1100,1815
1150,1786
1200,1762
1250,1730
1300,1701
1350,1664
1400,1645
1450,1608
1500,1591
1550,1569
1600,1536
1650,1513
1700,1491
1750,1471
1800,1442
1850,1430
1900,1408
1950,1389
2000,1372
2050,1356
2100,1341
2150,1298
2200,1253
2250,1212
2300,1172
2350,1129
2400,1083
2450,1037
2500,1004
2550,964
2600,916
2650,873
2700,826
2750,782
2800,736
2850,688
2900,640
2950,600
3000,567
3050,541
3100,523
3150,510
3200,489
3250,470
3300,470
3350,446
3400,427
3450,394
3500,344
3550,294
3600,244
3650,194
3700,144
3750,94
3800,44
3850,8
3900,0
