"pages","writes"
50,14591
100,9818
150,7709
200,6344
250,5577
300,4888
350,4502
400,3993
450,3723
500,3473
550,3367
600,3175
650,3044
700,2947
750,2823
800,2737
850,2677
900,2605
950,2519
1000,2449
1050,2387
1100,2348
1150,2281
1200,2196
1250,2128
1300,2042
1350,2051
1400,1987
1450,1903
1500,1894
1550,1826
1600,1802
1650,1742
1700,1690
1750,1649
1800,1594
1850,1538
1900,1507
1950,1484
2000,1389
2050,1413
2100,1355
2150,1312
2200,1253
2250,1176
2300,1165
2350,1116
2400,1052
2450,1011
2500,988
2550,899
2600,901
2650,856
2700,824
2750,753
2800,718
2850,690
2900,661
2950,597
3000,579
3050,561
3100,529
3150,441
3200,464
3250,411
3300,361
3350,334
3400,305
3450,281
3500,232
3550,199
3600,173
3650,147
3700,107
3750,79
3800,58
3850,20
3900,0
